card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
KC,veryhigh,False,3,3,3,2,1,10
3D,low,False,3,2,2,1,0,6
4C,low,False,1,1,2,0,-1,3
6D,mediumlow,False,4,3,1,4,1,10
QC,high,False,1,2,0,4,-1,6
9S,mediumHigh,False,1,1,0,4,-1,5
3H,low,True,2,0,-1,3,-1,2
AS,veryhigh,False,1,5,2,0,2,10
2D,low,False,3,4,2,0,2,9
JD,high,False,2,3,1,-1,1,5
2H,low,True,2,2,0,-1,1,3
AC,veryhigh,False,2,4,3,0,4,10
KD,veryhigh,False,4,3,3,0,4,9
7D,mediumlow,False,3,2,3,0,4,8
4C,low,False,1,1,3,0,4,7
8S,mediumHigh,True,1,0,3,-1,1,2
9H,mediumHigh,False,5,2,4,1,5,10
KH,veryhigh,False,4,1,4,1,3,7
4D,low,False,2,0,4,1,2,5
TD,high,False,2,3,2,3,1,10
QH,high,True,3,2,2,3,1,9
JH,high,True,2,1,2,3,1,8
3H,low,True,1,0,2,2,1,6
8C,mediumHigh,False,2,-1,2,2,1,5
3S,low,True,1,0,4,5,2,10
5C,low,False,4,-1,3,4,0,5
9C,mediumHigh,False,2,-2,2,4,-1,2
5H,low,False,4,1,6,1,1,10
KC,veryhigh,False,3,2,4,0,6,10
6H,mediumlow,True,2,1,4,0,6,9
2S,low,False,2,0,2,0,3,3
5H,low,False,5,3,2,3,3,10
4H,low,False,4,2,1,3,3,8
5S,low,False,2,1,1,2,3,6
TS,high,True,1,2,2,4,4,10
AC,veryhigh,False,1,1,1,2,1,3
6D,mediumlow,False,2,0,1,2,1,2
AC,veryhigh,False,4,1,4,3,1,10
3D,low,False,2,0,4,3,1,9
6H,mediumlow,False,3,2,2,6,1,10
QD,high,False,2,2,3,4,0,10
JS,high,True,2,1,3,4,0,9
2C,low,False,3,0,2,1,-1,3
QC,high,False,5,2,4,4,1,10
KC,veryhigh,False,4,1,3,4,1,8
3H,low,False,2,0,3,2,1,5
2C,low,False,5,2,1,2,7,10
KC,veryhigh,False,3,1,1,0,6,6
TC,high,False,2,0,1,-2,5,2
3S,low,False,2,1,4,1,5,10
7C,mediumlow,False,2,0,3,0,4,6
TS,high,False,2,1,5,3,0,10
QH,high,False,3,1,7,0,3,10
5D,low,False,3,0,7,0,3,9
2S,low,False,3,3,2,2,4,10
4H,low,False,3,2,1,2,3,7
6H,mediumlow,False,1,1,0,0,3,3
QC,high,False,4,2,4,1,5,10
3D,low,False,2,1,2,-1,3,3
3H,low,False,4,4,2,1,2,10
9H,mediumHigh,False,2,3,-1,-1,2,4
AS,veryhigh,False,1,2,-1,-1,2,3
2H,low,False,1,1,-1,-1,2,2
TS,high,False,3,2,5,1,1,10
TC,high,False,3,1,5,0,0,7
6H,mediumlow,False,2,3,1,4,3,10
QD,high,False,4,2,1,4,1,7
6C,mediumlow,True,2,1,1,4,1,6
3D,low,False,3,0,1,2,1,3
QD,high,False,2,4,1,1,6,10
JS,high,False,3,3,1,1,6,9
TS,high,False,2,2,0,1,5,6
TC,high,False,3,4,1,2,4,10
AC,veryhigh,False,2,3,1,2,4,9
4S,low,False,1,2,1,2,4,8
7D,mediumlow,False,1,1,0,-1,3,2
JD,high,False,4,1,3,5,2,10
2S,low,False,4,0,3,5,2,9
5D,low,False,2,-1,3,4,1,6
AH,veryhigh,False,7,1,3,4,4,10
2H,low,False,6,0,3,4,4,9
JH,high,False,3,2,2,6,1,10
7D,mediumlow,True,3,1,2,6,1,9
AH,veryhigh,True,3,3,0,2,7,10
QC,high,False,2,2,0,2,7,9
KS,veryhigh,False,5,1,0,2,5,6
2S,low,False,4,0,0,2,5,5
QH,high,False,2,3,0,4,5,10
7S,mediumlow,False,5,2,0,4,5,9
AS,veryhigh,False,3,1,0,1,3,3
4D,low,False,2,1,5,1,2,10
5S,low,False,5,0,4,-2,2,5
TD,high,False,4,3,3,1,5,10
6D,mediumlow,False,2,2,3,0,5,8
5D,low,False,1,1,1,-2,4,2
8C,mediumHigh,True,3,1,4,3,1,10
2C,low,True,1,0,3,0,1,5
JS,high,False,3,2,2,1,6,10
6H,mediumlow,True,4,1,2,1,6,9
2S,low,False,1,0,1,-1,4,3
5D,low,True,3,3,2,2,2,10
JH,high,False,3,2,2,1,1,7
KH,veryhigh,False,2,1,2,1,0,5
6D,mediumlow,True,1,0,2,1,0,4
JS,high,False,3,4,2,3,2,10
6D,mediumlow,True,4,3,1,2,2,7
KS,veryhigh,False,2,2,0,2,2,5
2D,low,True,2,1,0,2,2,4
QC,high,False,5,2,4,1,4,10
9C,mediumHigh,False,3,1,3,0,1,4
AH,veryhigh,True,3,4,3,2,0,10
QD,high,False,2,3,3,2,0,9
KS,veryhigh,False,3,2,0,2,0,5
AS,veryhigh,False,2,1,0,2,0,4
6C,mediumlow,False,1,0,0,2,0,3
6S,mediumlow,False,4,3,2,3,1,10
KS,veryhigh,False,2,2,0,2,0,5
AD,veryhigh,False,3,1,0,2,0,4
4D,low,False,2,0,0,2,0,3
9H,mediumHigh,False,2,1,7,0,1,10
2C,low,False,1,0,4,0,-1,4
5S,low,False,3,3,2,6,0,10
JC,high,False,2,2,2,6,-2,7
7H,mediumlow,False,1,1,2,6,-2,6
7S,mediumlow,False,2,0,2,5,-2,4
5S,low,False,3,1,4,3,3,10
4S,low,False,2,0,4,3,2,8
7C,mediumlow,False,5,-1,4,2,2,6
JC,high,False,1,-2,3,1,1,2
KS,veryhigh,True,3,2,2,5,0,10
3H,low,False,2,1,2,5,0,9
2S,low,True,1,0,1,4,-1,5
TC,high,False,5,1,2,5,1,10
6H,mediumlow,False,3,0,2,5,1,9
TH,high,False,3,2,1,4,4,10
4H,low,False,2,1,1,3,4,8
TD,high,True,1,0,1,1,1,2
AS,veryhigh,False,4,4,2,1,4,10
KS,veryhigh,False,3,3,1,1,4,8
7S,mediumlow,False,2,2,1,1,4,7
3H,low,False,2,1,1,1,4,6
8S,mediumHigh,False,1,0,0,1,3,3
6S,mediumlow,False,2,2,3,2,4,10
4H,low,True,2,1,3,1,1,5
