card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
KC,veryhigh,False,3,1,5,1,4,10
9H,mediumHigh,True,1,0,5,1,4,9
AD,veryhigh,False,4,2,3,4,0,10
7H,mediumlow,False,3,1,3,4,0,9
QD,high,False,3,1,1,6,1,10
2C,low,False,3,0,1,6,1,9
4H,low,True,2,-1,-2,6,1,5
KD,veryhigh,False,2,4,1,3,1,10
6H,mediumlow,False,4,3,1,3,1,9
8H,mediumHigh,False,3,2,1,0,1,5
2H,low,False,1,1,1,0,-1,2
9S,mediumHigh,False,4,0,4,2,5,10
4C,low,True,4,3,4,0,1,10
7H,mediumlow,False,2,2,4,-2,1,7
5C,low,True,2,1,4,-3,0,4
KH,veryhigh,False,4,3,6,0,2,10
6H,mediumlow,False,3,2,6,0,2,9
3H,low,False,2,1,0,0,2,2
8C,mediumHigh,True,3,3,3,0,5,10
9S,mediumHigh,False,1,2,2,0,3,6
2C,low,True,2,1,1,0,3,4
AD,veryhigh,False,6,2,5,0,4,10
KD,veryhigh,False,5,1,5,0,4,9
6D,mediumlow,False,5,4,1,3,3,10
9D,mediumHigh,False,4,3,1,3,2,8
2D,low,False,3,2,0,2,2,5
5D,low,True,3,2,4,2,1,10
9D,mediumHigh,True,2,1,2,1,0,5
5S,low,False,2,0,2,1,-1,3
QD,high,False,4,4,3,1,3,10
8D,mediumHigh,False,3,3,3,0,2,7
KC,veryhigh,False,2,2,3,-1,2,5
KS,veryhigh,False,2,2,2,6,1,10
KD,veryhigh,False,3,1,2,6,1,9
6D,mediumlow,False,2,0,2,6,1,8
6C,mediumlow,False,3,-1,2,6,0,6
9S,mediumHigh,False,2,2,3,1,6,10
4D,low,False,2,1,1,0,3,3
AS,veryhigh,False,3,6,2,0,1,10
AH,veryhigh,True,4,5,2,0,1,9
TH,high,True,3,4,2,0,1,8
KD,veryhigh,False,2,3,2,0,1,7
9S,mediumHigh,False,1,2,2,0,-1,4
4D,low,False,1,1,2,-1,-1,2
AD,veryhigh,False,4,2,2,2,6,10
