gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
49,1,10,2000,3.0,False,0,True,17,7,7,0
50,0,10,2000,3.0,True,1000,True,18,8,8,1
50,1,10,2000,3.0,False,0,True,0,2,0,1
51,0,10,2000,3.0,True,1000,True,0,7,9,0
51,1,10,2000,3.0,False,0,True,0,3,2,0
52,0,10,2000,3.0,True,1000,True,17,7,7,1
52,1,10,2000,3.0,False,0,True,0,3,2,1
53,0,10,2000,3.0,True,1000,True,15,5,5,0
53,1,10,2000,3.0,False,0,True,0,5,6,0
54,0,10,2000,3.0,True,1000,True,0,4,5,0
54,1,10,2000,3.0,False,0,True,0,6,4,0
55,0,10,2000,3.0,True,1000,True,0,6,4,0
55,1,10,2000,3.0,False,0,True,0,4,5,0
56,0,10,2000,3.0,True,1000,True,0,8,7,0
56,1,10,2000,3.0,False,0,True,0,2,5,0
57,0,10,2000,3.0,True,1000,True,19,9,9,0
57,1,10,2000,3.0,False,0,True,0,1,3,0
58,0,10,2000,3.0,True,1000,True,0,5,2,0
58,1,10,2000,3.0,False,0,True,0,5,6,0
59,0,10,2000,3.0,True,1000,True,0,4,3,0
59,1,10,2000,3.0,False,0,True,16,6,6,0
60,0,10,2000,3.0,True,1000,True,15,5,5,1
60,1,10,2000,3.0,False,0,True,0,5,6,1
61,0,10,2000,3.0,True,1000,True,15,5,5,1
61,1,10,2000,3.0,False,0,True,0,5,6,1
62,0,10,2000,3.0,True,1000,True,0,1,0,0
62,1,10,2000,3.0,False,0,True,0,9,8,0
63,0,10,2000,3.0,True,1000,True,0,8,6,1
63,1,10,2000,3.0,False,0,True,12,2,2,1
64,0,10,2000,3.0,True,1000,True,14,4,4,1
64,1,10,2000,3.0,False,0,True,0,6,4,1
65,0,10,2000,3.0,True,1000,True,0,1,3,1
65,1,10,2000,3.0,False,0,True,19,9,9,1
66,0,10,2000,3.0,True,1000,True,13,3,3,0
66,1,10,2000,3.0,False,0,True,0,7,6,0
67,0,10,2000,3.0,True,1000,True,17,7,7,0
67,1,10,2000,3.0,False,0,True,0,3,4,0
68,0,10,2000,3.0,True,1000,True,0,10,6,1
68,1,10,2000,3.0,False,0,True,0,0,6,1
69,0,10,2000,3.0,True,1000,True,0,5,6,0
69,1,10,2000,3.0,False,0,True,0,5,3,0
70,0,10,2000,3.0,True,1000,True,0,3,4,0
70,1,10,2000,3.0,False,0,True,0,7,5,0
71,0,10,2000,3.0,True,1000,True,0,9,7,1
71,1,10,2000,3.0,False,0,True,0,1,5,1
72,0,10,2000,3.0,True,1000,True,15,5,5,0
72,1,10,2000,3.0,False,0,True,0,5,4,0
73,0,10,2000,3.0,True,1000,True,0,6,2,1
73,1,10,2000,3.0,False,0,True,0,4,9,1
74,0,10,2000,3.0,True,1000,True,0,2,7,0
74,1,10,2000,3.0,False,0,True,0,8,5,0
75,0,10,2000,3.0,True,1000,True,15,5,5,1
75,1,10,2000,3.0,False,0,True,0,5,4,1
76,0,10,2000,3.0,True,1000,True,15,5,5,1
76,1,10,2000,3.0,False,0,True,0,5,3,1
77,0,10,2000,3.0,True,1000,True,14,4,4,1
77,1,10,2000,3.0,False,0,True,0,6,8,1
78,0,10,2000,3.0,True,1000,True,0,6,5,0
78,1,10,2000,3.0,False,0,True,0,4,6,0
79,0,10,2000,3.0,True,1000,True,17,7,7,0
79,1,10,2000,3.0,False,0,True,0,3,4,0
80,0,10,2000,3.0,True,1000,True,0,3,5,1
80,1,10,2000,3.0,False,0,True,0,7,6,1
81,0,10,2000,3.0,True,1000,True,15,5,5,1
81,1,10,2000,3.0,False,0,True,0,5,4,1
82,0,10,2000,3.0,True,1000,True,0,3,5,0
82,1,10,2000,3.0,False,0,True,0,7,6,0
83,0,10,2000,3.0,True,1000,True,0,8,4,1
83,1,10,2000,3.0,False,0,True,0,2,5,1
84,0,10,2000,3.0,True,1000,True,14,4,4,1
84,1,10,2000,3.0,False,0,True,0,6,8,1
85,0,10,2000,3.0,True,1000,True,14,4,4,0
85,1,10,2000,3.0,False,0,True,0,6,4,0
86,0,10,2000,3.0,True,1000,True,0,1,2,0
86,1,10,2000,3.0,False,0,True,0,9,6,0
87,0,10,2000,3.0,True,1000,True,0,8,6,0
87,1,10,2000,3.0,False,0,True,0,2,5,0
88,0,10,2000,3.0,True,1000,True,0,5,4,1
88,1,10,2000,3.0,False,0,True,15,5,5,1
89,0,10,2000,3.0,True,1000,True,0,6,2,0
89,1,10,2000,3.0,False,0,True,0,4,7,0
90,0,10,2000,3.0,True,1000,True,20,10,10,0
90,1,10,2000,3.0,False,0,True,0,0,1,0
91,0,10,2000,3.0,True,1000,True,0,3,6,0
91,1,10,2000,3.0,False,0,True,0,7,6,0
92,0,10,2000,3.0,True,1000,True,0,8,5,1
92,1,10,2000,3.0,False,0,True,0,2,4,1
93,0,10,2000,3.0,True,1000,True,18,8,8,1
93,1,10,2000,3.0,False,0,True,0,2,0,1
94,0,10,2000,3.0,True,1000,True,0,6,7,0
94,1,10,2000,3.0,False,0,True,0,4,2,0
95,0,10,2000,3.0,True,1000,True,15,5,5,0
95,1,10,2000,3.0,False,0,True,0,5,6,0
96,0,10,2000,3.0,True,1000,True,0,5,6,1
96,1,10,2000,3.0,False,0,True,15,5,5,1
97,0,10,2000,3.0,True,1000,True,17,7,7,0
97,1,10,2000,3.0,False,0,True,0,3,4,0
98,0,10,2000,3.0,True,1000,True,17,7,7,1
98,1,10,2000,3.0,False,0,True,0,3,2,1
99,0,10,2000,3.0,True,1000,True,0,6,4,1
99,1,10,2000,3.0,False,0,True,0,4,7,1
0,0,9,10,1.01,True,1000,True,11,1,1,3
0,1,9,10,1.01,False,0,True,0,2,4,3
0,2,9,10,1.01,False,0,True,0,3,2,3
0,3,9,10,1.01,False,0,True,13,3,3,3
1,0,9,10,1.01,True,1000,True,0,2,3,1
1,1,9,10,1.01,False,0,True,0,3,0,1
1,2,9,10,1.01,False,0,True,0,3,4,1
1,3,9,10,1.01,False,0,True,11,1,1,1
2,0,9,10,1.01,True,1000,True,0,1,0,0
2,1,9,10,1.01,False,0,True,0,3,1,0
2,2,9,10,1.01,False,0,True,0,1,3,0
2,3,9,10,1.01,False,0,True,14,4,4,0
3,0,9,10,1.01,True,1000,True,0,0,1,1
3,1,9,10,1.01,False,0,True,0,2,5,1
3,2,9,10,1.01,False,0,True,0,4,2,1
3,3,9,10,1.01,False,0,True,0,3,2,1
4,0,9,10,1.01,True,1000,True,13,3,3,1
4,1,9,10,1.01,False,0,True,0,2,1,1
4,2,9,10,1.01,False,0,True,0,2,3,1
4,3,9,10,1.01,False,0,True,0,2,1,1
5,0,9,10,1.01,True,1000,True,14,4,4,2
5,1,9,10,1.01,False,0,True,0,3,2,2
5,2,9,10,1.01,False,0,True,0,1,2,2
5,3,9,10,1.01,False,0,True,0,1,0,2
6,0,9,10,1.01,True,1000,True,0,1,0,0
6,1,9,10,1.01,False,0,True,13,3,3,0
6,2,9,10,1.01,False,0,True,11,1,1,0
6,3,9,10,1.01,False,0,True,14,4,4,0
7,0,9,10,1.01,True,1000,True,0,4,1,2
7,1,9,10,1.01,False,0,True,12,2,2,2
7,2,9,10,1.01,False,0,True,0,1,3,2
7,3,9,10,1.01,False,0,True,0,2,4,2
8,0,9,10,1.01,True,1000,True,0,0,1,1
8,1,9,10,1.01,False,0,True,0,4,5,1
8,2,9,10,1.01,False,0,True,0,1,2,1
8,3,9,10,1.01,False,0,True,0,4,3,1
9,0,9,10,1.01,True,1000,True,0,4,2,3
9,1,9,10,1.01,False,0,True,0,4,5,3
9,2,9,10,1.01,False,0,True,10,0,0,3
9,3,9,10,1.01,False,0,True,11,1,1,3
10,0,9,10,1.01,True,1000,True,12,2,2,0
10,1,9,10,1.01,False,0,True,0,2,5,0
10,2,9,10,1.01,False,0,True,0,3,1,0
10,3,9,10,1.01,False,0,True,12,2,2,0
11,0,9,10,1.01,True,1000,True,0,5,4,3
11,1,9,10,1.01,False,0,True,12,2,2,3
11,2,9,10,1.01,False,0,True,0,1,0,3
11,3,9,10,1.01,False,0,True,11,1,1,3
12,0,9,10,1.01,True,1000,True,0,1,2,3
12,1,9,10,1.01,False,0,True,12,2,2,3
12,2,9,10,1.01,False,0,True,15,5,5,3
12,3,9,10,1.01,False,0,True,11,1,1,3
13,0,9,10,1.01,True,1000,True,0,1,2,2
13,1,9,10,1.01,False,0,True,0,1,3,2
13,2,9,10,1.01,False,0,True,12,2,2,2
13,3,9,10,1.01,False,0,True,0,5,1,2
14,0,9,10,1.01,True,1000,True,11,1,1,0
14,1,9,10,1.01,False,0,True,0,1,4,0
14,2,9,10,1.01,False,0,True,0,2,0,0
14,3,9,10,1.01,False,0,True,15,5,5,0
15,0,9,10,1.01,True,1000,True,12,2,2,1
15,1,9,10,1.01,False,0,True,0,2,1,1
15,2,9,10,1.01,False,0,True,0,3,5,1
15,3,9,10,1.01,False,0,True,0,2,0,1
16,0,9,10,1.01,True,1000,True,12,2,2,2
16,1,9,10,1.01,False,0,True,0,2,1,2
16,2,9,10,1.01,False,0,True,13,3,3,2
16,3,9,10,1.01,False,0,True,12,2,2,2
17,0,9,10,1.01,True,1000,True,13,3,3,3
17,1,9,10,1.01,False,0,True,14,4,4,3
17,2,9,10,1.01,False,0,True,0,1,0,3
17,3,9,10,1.01,False,0,True,0,1,3,3
18,0,9,10,1.01,True,1000,True,10,0,0,1
18,1,9,10,1.01,False,0,True,0,4,5,1
18,2,9,10,1.01,False,0,True,0,4,2,1
18,3,9,10,1.01,False,0,True,0,1,3,1
19,0,9,10,1.01,True,1000,True,0,1,5,0
19,1,9,10,1.01,False,0,True,0,5,3,0
19,2,9,10,1.01,False,0,True,12,2,2,0
19,3,9,10,1.01,False,0,True,0,1,0,0
20,0,9,10,1.01,True,1000,True,0,2,0,1
20,1,9,10,1.01,False,0,True,12,2,2,1
20,2,9,10,1.01,False,0,True,13,3,3,1
20,3,9,10,1.01,False,0,True,12,2,2,1
21,0,9,10,1.01,True,1000,True,0,4,5,1
21,1,9,10,1.01,False,0,True,0,2,0,1
21,2,9,10,1.01,False,0,True,12,2,2,1
21,3,9,10,1.01,False,0,True,11,1,1,1
22,0,9,10,1.01,True,1000,True,0,3,1,1
22,1,9,10,1.01,False,0,True,0,3,5,1
22,2,9,10,1.01,False,0,True,0,0,1,1
22,3,9,10,1.01,False,0,True,13,3,3,1
23,0,9,10,1.01,True,1000,True,13,3,3,2
23,1,9,10,1.01,False,0,True,13,3,3,2
23,2,9,10,1.01,False,0,True,0,3,2,2
23,3,9,10,1.01,False,0,True,0,0,2,2
24,0,9,10,1.01,True,1000,True,0,3,2,3
24,1,9,10,1.01,False,0,True,0,1,2,3
24,2,9,10,1.01,False,0,True,13,3,3,3
24,3,9,10,1.01,False,0,True,0,2,1,3
25,0,9,10,1.01,True,1000,True,0,0,1,3
25,1,9,10,1.01,False,0,True,0,3,4,3
25,2,9,10,1.01,False,0,True,0,6,4,3
25,3,9,10,1.01,False,0,True,0,0,1,3
