winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,143,141,101,123,2,"[15, 13, 11, 0]","[12, 0, 0, 0]","[13, 12, 0, 0]","[0, 13, 12, 12]","[11, 0, 11, 11]","[10, 0, 11, 12]","[0, 11, 11, 10]","[0, 0, 0, 10]","[11, 10, 10, 0]","[10, 11, 10, 0]","[10, 0, 10, 11]","[0, 11, 10, 11]","[11, 12, 10, 0]","[10, 12, 0, 0]","[0, 0, 11, 12]","[0, 11, 13, 12]","[10, 0, 0, 0]","[0, 13, 0, 0]","[0, 14, 11, 0]"
2,81,133,111,131,3,"[11, 0, 14, 11]","[0, 0, 11, 0]","[0, 15, 0, 0]","[11, 11, 0, 0]","[12, 0, 0, 0]","[0, 0, 10, 11]","[0, 0, 10, 0]","[10, 0, 10, 10]","[10, 11, 10, 0]","[10, 0, 10, 10]","[12, 10, 0, 10]","[10, 0, 13, 10]","[10, 0, 0, 11]","[0, 11, 0, 0]","[12, 11, 11, 0]","[11, 0, 0, 11]","[0, 0, 10, 0]","[12, 0, 14, 12]","[0, 12, 10, 15]"
1,123,115,112,110,0,"[0, 13, 0, 0]","[11, 14, 0, 0]","[0, 0, 0, 12]","[0, 0, 11, 0]","[0, 12, 11, 13]","[11, 10, 0, 0]","[0, 12, 11, 11]","[0, 10, 11, 10]","[10, 0, 12, 10]","[11, 0, 10, 10]","[10, 10, 0, 11]","[10, 11, 0, 12]","[11, 0, 0, 0]","[0, 10, 12, 11]","[10, 11, 0, 0]","[0, 0, 10, 0]","[0, 0, 12, 12]","[12, 0, 15, 0]","[14, 10, 0, 0]"
3,100,119,119,115,1,"[11, 0, 0, 0]","[0, 0, 12, 11]","[11, 0, 10, 16]","[0, 0, 11, 14]","[12, 0, 0, 0]","[0, 10, 0, 0]","[11, 0, 10, 0]","[10, 10, 10, 0]","[0, 0, 10, 0]","[11, 10, 0, 10]","[11, 10, 11, 0]","[0, 0, 11, 0]","[0, 0, 10, 12]","[0, 11, 0, 0]","[0, 12, 11, 11]","[0, 10, 13, 12]","[13, 14, 0, 10]","[13, 13, 0, 13]","[12, 0, 0, 10]"
1,162,135,122,133,2,"[0, 0, 11, 0]","[0, 13, 11, 0]","[11, 0, 12, 0]","[11, 13, 0, 10]","[12, 14, 10, 0]","[12, 12, 0, 10]","[0, 0, 12, 10]","[10, 10, 11, 0]","[11, 11, 0, 10]","[11, 10, 10, 0]","[12, 10, 10, 0]","[0, 12, 10, 11]","[10, 10, 0, 12]","[0, 10, 14, 11]","[10, 13, 0, 12]","[11, 11, 0, 13]","[12, 0, 11, 11]","[0, 13, 13, 12]","[0, 0, 0, 0]"
1,149,105,132,149,3,"[13, 15, 10, 0]","[14, 11, 0, 11]","[13, 0, 12, 10]","[0, 0, 0, 11]","[12, 0, 11, 12]","[0, 10, 0, 11]","[10, 0, 10, 0]","[11, 10, 0, 0]","[10, 11, 0, 11]","[10, 10, 10, 0]","[0, 12, 10, 10]","[0, 10, 10, 10]","[11, 11, 0, 10]","[0, 10, 0, 10]","[11, 0, 10, 12]","[0, 0, 10, 0]","[12, 13, 0, 0]","[12, 11, 12, 0]","[10, 15, 0, 14]"
1,136,119,124,118,0,"[0, 12, 12, 14]","[11, 14, 12, 0]","[0, 13, 0, 0]","[13, 0, 14, 10]","[0, 0, 0, 13]","[10, 0, 12, 11]","[0, 10, 0, 11]","[0, 10, 10, 0]","[0, 10, 10, 12]","[10, 0, 11, 10]","[10, 11, 0, 10]","[0, 10, 11, 0]","[10, 10, 13, 0]","[11, 11, 0, 11]","[11, 0, 0, 0]","[0, 12, 0, 0]","[10, 13, 0, 12]","[12, 0, 0, 10]","[10, 0, 14, 0]"
2,133,146,95,97,1,"[0, 15, 11, 12]","[12, 12, 11, 0]","[0, 0, 11, 0]","[0, 11, 0, 0]","[11, 11, 12, 0]","[10, 0, 0, 0]","[12, 11, 10, 0]","[0, 10, 10, 0]","[0, 10, 0, 10]","[10, 10, 11, 0]","[10, 0, 11, 0]","[10, 11, 0, 0]","[10, 0, 12, 10]","[12, 0, 11, 11]","[0, 11, 11, 12]","[0, 0, 0, 0]","[0, 11, 12, 14]","[0, 10, 13, 14]","[0, 0, 0, 12]"
1,121,88,108,102,2,"[14, 0, 12, 12]","[0, 0, 0, 0]","[0, 15, 11, 10]","[10, 0, 0, 13]","[0, 0, 0, 0]","[0, 10, 0, 0]","[0, 10, 11, 11]","[10, 10, 11, 0]","[11, 11, 0, 10]","[10, 10, 11, 0]","[0, 0, 0, 10]","[10, 10, 0, 11]","[0, 11, 0, 10]","[0, 0, 0, 10]","[11, 0, 10, 0]","[13, 0, 10, 0]","[13, 10, 0, 11]","[0, 12, 0, 0]","[0, 12, 12, 0]"
3,112,102,171,110,3,"[14, 12, 0, 10]","[0, 11, 14, 11]","[0, 0, 0, 13]","[0, 0, 11, 12]","[0, 10, 12, 13]","[11, 11, 0, 13]","[0, 0, 11, 0]","[10, 10, 0, 0]","[10, 10, 0, 10]","[11, 0, 10, 10]","[0, 0, 0, 10]","[10, 0, 0, 0]","[11, 0, 10, 10]","[10, 0, 11, 11]","[10, 0, 0, 13]","[0, 11, 12, 13]","[13, 13, 0, 11]","[0, 12, 11, 11]","[0, 12, 0, 0]"
0,110,121,101,138,0,"[0, 0, 12, 0]","[15, 0, 0, 0]","[13, 0, 12, 11]","[0, 11, 12, 11]","[12, 0, 11, 0]","[0, 10, 0, 13]","[12, 10, 10, 0]","[10, 0, 0, 0]","[10, 10, 11, 0]","[11, 0, 10, 10]","[10, 12, 0, 10]","[0, 10, 10, 0]","[11, 12, 0, 11]","[10, 10, 11, 0]","[0, 14, 11, 11]","[0, 0, 0, 0]","[10, 0, 11, 12]","[0, 0, 0, 0]","[14, 11, 0, 12]"
1,130,88,89,77,1,"[12, 0, 0, 0]","[12, 11, 12, 0]","[0, 0, 12, 0]","[0, 0, 0, 13]","[0, 0, 0, 10]","[0, 0, 0, 11]","[0, 10, 0, 0]","[0, 10, 11, 10]","[10, 10, 0, 10]","[10, 10, 0, 11]","[10, 10, 11, 0]","[0, 11, 0, 0]","[11, 10, 10, 0]","[12, 0, 10, 0]","[0, 14, 10, 11]","[0, 11, 0, 0]","[0, 10, 12, 13]","[0, 13, 0, 0]","[0, 0, 0, 0]"
2,111,130,112,96,2,"[0, 0, 12, 0]","[14, 11, 11, 0]","[0, 0, 12, 0]","[14, 0, 0, 0]","[0, 0, 0, 12]","[0, 0, 10, 10]","[0, 11, 10, 13]","[0, 0, 0, 11]","[10, 10, 0, 0]","[0, 10, 10, 10]","[0, 11, 10, 11]","[0, 13, 10, 10]","[10, 11, 0, 11]","[11, 0, 13, 11]","[0, 11, 10, 0]","[13, 10, 11, 0]","[0, 0, 0, 0]","[13, 13, 0, 13]","[11, 0, 11, 0]"
